CTPS Code,CTPS Name,Customer Code,Domestic/International
010311,COCA COLA SALT LAKE CITY,543401,DOMESTIC
010063,ASHEVILLE BREWING,70691,DOMESTIC
010811,PEPSI NEWPORT NEWS,30744,DOMESTIC
010064,ASPEN BREWING,481844,DOMESTIC
010321,COCA COLA WILSONVILLE,506520,DOMESTIC
010321,COCA COLA WILSONVILLE,543443,DOMESTIC
010065,ATLANTIC BEACH BREWING,519401,DOMESTIC
010596,KOOCHENVAGNER BREWING RICHMOND,512823,DOMESTIC
010621,LAWSONS FINEST LIQUIDS WAITSFIELD,547743,DOMESTIC
010404,DPSG LOUISVILLE,514634,DOMESTIC
010404,DPSG LOUISVILLE,481916,DOMESTIC
010067,ATLAS METAL & IRON CORP,348980,DOMESTIC
010841,PORTLAND BOTTLING,531291,DOMESTIC
010841,PORTLAND BOTTLING,349966,DOMESTIC
010841,PORTLAND BOTTLING,38172,DOMESTIC
010841,PORTLAND BOTTLING,133735,DOMESTIC
010841,PORTLAND BOTTLING,34948,DOMESTIC
010841,PORTLAND BOTTLING,405702,DOMESTIC
010841,PORTLAND BOTTLING,587761,DOMESTIC
010841,PORTLAND BOTTLING,58851,DOMESTIC
010841,PORTLAND BOTTLING,30576,DOMESTIC
010841,PORTLAND BOTTLING,38797,DOMESTIC
010841,PORTLAND BOTTLING,529932,DOMESTIC
010841,PORTLAND BOTTLING,30031,DOMESTIC
010841,PORTLAND BOTTLING,387188,DOMESTIC
010841,PORTLAND BOTTLING,553609,DOMESTIC
010841,PORTLAND BOTTLING,554880,DOMESTIC
010841,PORTLAND BOTTLING,37621,DOMESTIC
010841,PORTLAND BOTTLING,578128,DOMESTIC
010841,PORTLAND BOTTLING,585782,DOMESTIC
010925,SAFEWAY RICHMOND,38316,DOMESTIC
010925,SAFEWAY RICHMOND,533771,DOMESTIC
010801,PEPSI FRESNO,42665,DOMESTIC
010069,AUSTIN BREWERY,486098,DOMESTIC
010347,COULOMBE QUEBEC,30015,DOMESTIC
010070,AVERY BREWING NAUTILUS,450845,DOMESTIC
010528,HIGH FALLS BREWING ROCHESTER,34382,DOMESTIC
010528,HIGH FALLS BREWING ROCHESTER,34307,DOMESTIC
010528,HIGH FALLS BREWING ROCHESTER,42243,DOMESTIC
010071,AVIATOR BREWING,498574,DOMESTIC
010756,O-AT-KA,35027,DOMESTIC
010756,O-AT-KA,36724,DOMESTIC
010756,O-AT-KA,32192,DOMESTIC
010756,O-AT-KA,38762,DOMESTIC
010756,O-AT-KA,547760,DOMESTIC
010385,DESCHUTES BREWERY SHEVLIN-HIXON,480825,DOMESTIC
010406,DPSG MODESTO,38121,DOMESTIC
010406,DPSG MODESTO,34260,DOMESTIC
010406,DPSG MODESTO,453122,DOMESTIC
010406,DPSG MODESTO,539946,DOMESTIC
010406,DPSG MODESTO,523936,DOMESTIC
010406,DPSG MODESTO,526686,DOMESTIC
010406,DPSG MODESTO,524584,DOMESTIC
010406,DPSG MODESTO,519494,DOMESTIC
010406,DPSG MODESTO,38439,DOMESTIC
010406,DPSG MODESTO,257308,DOMESTIC
010406,DPSG MODESTO,539170,DOMESTIC
010410,DPSG WILLIAMSON,39132,DOMESTIC
010415,DUVEL MOORTGAT,523661,DOMESTIC
010863,QUINN BORCHARDT BREW,526213,DOMESTIC
011086,VICTORY PACKAGING JESSUP,554960,DOMESTIC
010434,EPIC BREWING COMPANY ONEIDA,504348,DOMESTIC
010436,EPIC ENTERPRISES,33734,DOMESTIC
010436,EPIC ENTERPRISES,53575,DOMESTIC
010436,EPIC ENTERPRISES,535064,DOMESTIC
010446,FAT HEAD'S BREWING,539903,DOMESTIC
010470,FOUNDERS BREWING,251686,DOMESTIC
010470,FOUNDERS BREWING,579104,DOMESTIC
010496,GRAIN TO GREEN,213639,DOMESTIC
010522,HAWAIIAN SUN HONOLULU,35107,DOMESTIC
010536,HONOLULU BEERWORKS,506132,DOMESTIC
010922,SAFEWAY BELLEVUE,38308,DOMESTIC
011057,TURNING POINT BREWERY,503206,DOMESTIC
011057,TURNING POINT BREWERY,510220,DOMESTIC
011057,TURNING POINT BREWERY,583470,DOMESTIC
010595,KOMBUCHA BRIDGEPORT DIST,244929,DOMESTIC
010595,KOMBUCHA BRIDGEPORT DIST,531303,DOMESTIC
010599,KT MURRAY GRAND RAPIDS,323002,DOMESTIC
010799,PEPSI CHICAGO BCS,37292,DOMESTIC
011127,WISPAK QUINCY,39378,DOMESTIC
010662,MAISON DES FUTAILLES MONTREAL,522378,DOMESTIC
010662,MAISON DES FUTAILLES MONTREAL,525704,DOMESTIC
010674,MATT BREWING,538783,DOMESTIC
010674,MATT BREWING,34315,DOMESTIC
010675,MCKENZIE RIVER HOP VALLEY EUGENE,506175,DOMESTIC
010675,MCKENZIE RIVER HOP VALLEY EUGENE,245171,DOMESTIC
010686,MILLERCOORS GOLDEN,37129,DOMESTIC
010688,MILLERCOORS MILWAUKEE,37090,DOMESTIC
010688,MILLERCOORS MILWAUKEE,526758,DOMESTIC
010689,MILLERCOORS TRENTON,37073,DOMESTIC
010693,MOBILE CANNING CROSSPOINT II,553035,DOMESTIC
010697,MOBILE CANNING SONOMA,539858,DOMESTIC
010815,PEPSI SPRINGFIELD,38703,DOMESTIC
010815,PEPSI SPRINGFIELD,518192,DOMESTIC
010815,PEPSI SPRINGFIELD,546302,DOMESTIC
010967,SOLEMN OATH BREWING,479103,DOMESTIC
010804,PEPSI HONOLULU,30672,DOMESTIC
010073,BA BREWMASTER,480446,DOMESTIC
010808,PEPSI MISSISSAUGA,39669,DOMESTIC
010074,BACK EAST BREWING,250763,DOMESTIC
010819,PEPSI TUMWATER,30699,DOMESTIC
010075,BACK FORTY BEER,542002,DOMESTIC
010075,BACK FORTY BEER,300151,DOMESTIC
011095,WAIKIKI BREWING,491321,INTERNATIONAL
011095,WAIKIKI BREWING,517966,INTERNATIONAL
010824,PERRIN BREWING,479841,DOMESTIC
010076,BACK PEW BREWING,496755,DOMESTIC
011062,UINTA BREWING,205583,DOMESTIC
010077,BAD BEAT BREWING,543136,DOMESTIC
011013,TELLURIDE BREWING,223571,DOMESTIC
010078,BAD SEED CIDER,483217,DOMESTIC
010980,SQUATTERS & WASATCH BREW,483882,DOMESTIC
010079,BAHAMAS RIVIERA BEACH,31211,DOMESTIC
010079,BAHAMAS RIVIERA BEACH,37372,DOMESTIC
010079,BAHAMAS RIVIERA BEACH,34016,DOMESTIC
010851,PRI-PAK,37671,DOMESTIC
010851,PRI-PAK,30146,DOMESTIC
010851,PRI-PAK,40985,DOMESTIC
010851,PRI-PAK,519427,DOMESTIC
010851,PRI-PAK,324742,DOMESTIC
010851,PRI-PAK,36521,DOMESTIC
010851,PRI-PAK,455697,DOMESTIC
010851,PRI-PAK,511062,DOMESTIC
010851,PRI-PAK,403774,DOMESTIC
010851,PRI-PAK,465756,DOMESTIC
010851,PRI-PAK,37444,DOMESTIC
010851,PRI-PAK,96129,DOMESTIC
010851,PRI-PAK,42198,DOMESTIC
010851,PRI-PAK,497029,DOMESTIC
010923,SAFEWAY DENVER,38287,DOMESTIC
010926,SAINT ARCHER BREWING SAN DIEGO,506183,DOMESTIC
010926,SAINT ARCHER BREWING SAN DIEGO,317041,DOMESTIC
010081,BAKFISH BREWING AUSTIN,542395,
010947,SHASTA HOUSTON,331651,DOMESTIC
010082,BALCONES RECYCLING,511804,DOMESTIC
010948,SHASTA LA MIRADA,36951,DOMESTIC
010083,BALE BREAKER BREWING,212863,DOMESTIC
011063,UNCLE BEARS BREWERY GILBERT,530036,DOMESTIC
010084,BALL BEV CAN SOUTH AMERICA,500566,INTERNATIONAL
010687,MILLERCOORS IRWINDALE,37102,DOMESTIC
010085,BALL BEVERAGE MEXICO,55550132,
010962,SLEEMAN OKANAGAN,38551,DOMESTIC
010962,SLEEMAN OKANAGAN,483612,DOMESTIC
010086,BALL BEVERAGE PKG AUSTRIA,547073,INTERNATIONAL
010541,HOWE SOUND BREWING,479648,DOMESTIC
010541,HOWE SOUND BREWING,42622,DOMESTIC
010087,BALL BEVERAGE PKG CHILE,511409,INTERNATIONAL
010324,COLD SPRING BREWING,552235,DOMESTIC
010324,COLD SPRING BREWING,34551,DOMESTIC
010324,COLD SPRING BREWING,38148,DOMESTIC
010324,COLD SPRING BREWING,229198,DOMESTIC
010324,COLD SPRING BREWING,34921,DOMESTIC
010324,COLD SPRING BREWING,352049,DOMESTIC
010324,COLD SPRING BREWING,549351,DOMESTIC
010324,COLD SPRING BREWING,42251,DOMESTIC
010324,COLD SPRING BREWING,517077,DOMESTIC
010324,COLD SPRING BREWING,550601,DOMESTIC
010324,COLD SPRING BREWING,500144,DOMESTIC
010324,COLD SPRING BREWING,31931,DOMESTIC
010324,COLD SPRING BREWING,34622,DOMESTIC
010324,COLD SPRING BREWING,537457,DOMESTIC
010324,COLD SPRING BREWING,519363,DOMESTIC
010324,COLD SPRING BREWING,480462,DOMESTIC
010324,COLD SPRING BREWING,559883,DOMESTIC
010324,COLD SPRING BREWING,570759,DOMESTIC
011020,TEXAS QUALITY BEVERAGE,368016,DOMESTIC
011020,TEXAS QUALITY BEVERAGE,356592,DOMESTIC
011020,TEXAS QUALITY BEVERAGE,367030,DOMESTIC
010089,BALL BEVERAGE PKG LENINGRADSKAYA,499180,INTERNATIONAL
010373,CUTWATER SPIRITS,500291,DOMESTIC
010979,SPOETZL BREWERY SHINER,511311,DOMESTIC
010091,BALL BEVERAGE PKG TETEGHEM,543021,INTERNATIONAL
010263,COCA COLA ABILENE,506010,DOMESTIC
010263,COCA COLA ABILENE,32336,DOMESTIC
010092,BALL BEVERAGE PKG TURKEY,502414,DOMESTIC
010899,REVOLVER BREWING GRANBURY,519419,DOMESTIC
010093,BALL BEVERAGE PKG WORTH AM RHEIN,523071,INTERNATIONAL
010589,KENNAMETAL HENDERSON,35748,DOMESTIC
010094,BALL ENVASES DE ALUMINIO,502431,INTERNATIONAL
010583,KARBACH BREWING,390723,DOMESTIC
010095,BALL FORT WORTH,55550194,
010886,REFRESCO TAMPA,542053,DOMESTIC
010886,REFRESCO TAMPA,362917,DOMESTIC
010886,REFRESCO TAMPA,550037,DOMESTIC
010096,BALLAST POINT BREW,517851,
010822,PEPSI WICHITA,30867,DOMESTIC
010097,BALLAST POINT SPIRITS,480201,DOMESTIC
010170,BREVARD,209912,DOMESTIC
010098,BANKS BREWERIES,297650,INTERNATIONAL
010607,LABATT LONDON,550459,DOMESTIC
010099,BAXTER BREWING,448411,DOMESTIC
010099,BAXTER BREWING,467866,DOMESTIC
010748,NORCAL SACRAMENTO,36695,DOMESTIC
